date_jour,cp1,Dp1,HEURE_POINTE_1H,cp2,Dp2,HEURE_POINTE_2H,cp3,Dp3,HEURE_POINTE_3H,LENGTH
2023-01-01,68.57,0.32,2023-01-01 14:45:00,86.48,0.11,2023-01-01 14:45:00,90.56,0.07,2023-01-01 15:00:00,341
2023-01-02,99.45,0.0,2023-01-02 02:45:00,102.71,-0.02,2023-01-02 02:30:00,103.5,-0.02,2023-01-02 02:45:00,341
2023-01-03,94.85,0.04,2023-01-03 00:30:00,99.37,0.0,2023-01-03 22:00:00,100.69,-0.0,2023-01-03 00:30:00,341
2023-01-04,8.03,8.0,2023-01-04 14:00:00,38.75,1.1,2023-01-04 13:45:00,61.23,0.44,2023-01-04 12:45:00,341
2023-01-05,95.43,0.03,2023-01-05 22:45:00,100.03,-0.0,2023-01-05 01:15:00,100.94,-0.01,2023-01-05 00:30:00,341
2023-01-06,93.51,0.05,2023-01-06 01:30:00,99.72,0.0,2023-01-06 01:30:00,103.24,-0.02,2023-01-06 00:45:00,341
2023-01-07,97.03,0.02,2023-01-07 18:00:00,99.35,0.0,2023-01-07 17:00:00,100.89,-0.01,2023-01-07 16:15:00,341
2023-01-08,95.31,0.03,2023-01-08 00:45:00,100.1,-0.0,2023-01-08 17:15:00,101.47,-0.01,2023-01-08 17:00:00,341
2023-01-09,70.81,0.29,2023-01-09 07:45:00,84.47,0.13,2023-01-09 07:45:00,89.63,0.08,2023-01-09 07:00:00,341
2023-01-10,42.52,0.94,2023-01-10 08:00:00,61.03,0.45,2023-01-10 07:30:00,73.44,0.25,2023-01-10 07:00:00,341
2023-01-11,50.44,0.69,2023-01-11 08:15:00,73.44,0.25,2023-01-11 07:15:00,83.29,0.14,2023-01-11 06:30:00,341
2023-01-12,46.45,0.81,2023-01-12 07:45:00,63.55,0.4,2023-01-12 07:45:00,75.2,0.23,2023-01-12 07:00:00,341
2023-01-13,96.13,0.03,2023-01-13 00:15:00,99.14,0.01,2023-01-13 03:00:00,100.06,-0.0,2023-01-13 02:00:00,341
2023-01-14,96.86,0.02,2023-01-14 03:30:00,100.06,-0.0,2023-01-14 18:45:00,100.32,-0.0,2023-01-14 17:45:00,341
2023-01-15,94.12,0.04,2023-01-15 03:15:00,100.07,-0.0,2023-01-15 03:45:00,101.1,-0.01,2023-01-15 03:00:00,341
2023-01-16,16.18,3.62,2023-01-16 08:45:00,26.0,1.99,2023-01-16 08:00:00,42.15,0.96,2023-01-16 07:00:00,341
2023-01-17,28.41,1.76,2023-01-17 08:00:00,55.28,0.57,2023-01-17 07:30:00,69.52,0.31,2023-01-17 07:15:00,341
2023-01-18,10.71,5.82,2023-01-18 18:00:00,16.85,3.45,2023-01-18 17:30:00,42.83,0.93,2023-01-18 16:30:00,341
2023-01-19,7.36,8.79,2023-01-19 17:45:00,10.11,6.21,2023-01-19 17:15:00,28.58,1.75,2023-01-19 16:30:00,341
2023-01-20,96.97,0.02,2023-01-20 02:00:00,98.86,0.01,2023-01-20 01:00:00,101.24,-0.01,2023-01-20 00:45:00,341
2023-01-21,99.97,0.0,2023-01-21 18:15:00,102.46,-0.02,2023-01-21 16:45:00,102.9,-0.02,2023-01-21 16:45:00,341
2023-01-22,100.38,-0.0,2023-01-22 03:30:00,101.95,-0.01,2023-01-22 17:15:00,102.5,-0.02,2023-01-22 01:45:00,341
2023-01-23,69.53,0.31,2023-01-23 07:30:00,70.75,0.29,2023-01-23 07:30:00,80.62,0.17,2023-01-23 06:45:00,341
2023-01-24,26.08,1.98,2023-01-24 08:00:00,37.78,1.15,2023-01-24 07:45:00,57.9,0.51,2023-01-24 07:15:00,341
2023-01-25,11.18,5.55,2023-01-25 11:45:00,35.99,1.24,2023-01-25 11:15:00,40.18,1.04,2023-01-25 09:45:00,341
2023-01-26,14.17,4.23,2023-01-26 17:30:00,21.3,2.58,2023-01-26 11:45:00,28.26,1.77,2023-01-26 10:15:00,341
2023-01-27,93.83,0.05,2023-01-27 01:30:00,96.29,0.03,2023-01-27 00:30:00,101.33,-0.01,2023-01-27 00:15:00,341
2023-01-28,99.53,0.0,2023-01-28 03:45:00,100.99,-0.01,2023-01-28 18:15:00,102.01,-0.01,2023-01-28 01:45:00,341
2023-01-29,72.82,0.26,2023-01-29 18:00:00,87.67,0.1,2023-01-29 17:15:00,93.53,0.05,2023-01-29 16:45:00,341
2023-01-30,28.7,1.74,2023-01-30 07:30:00,55.33,0.56,2023-01-30 07:00:00,71.11,0.28,2023-01-30 07:00:00,341
2023-01-31,31.11,1.55,2023-01-31 17:00:00,65.89,0.36,2023-01-31 16:45:00,79.26,0.18,2023-01-31 17:00:00,341
2023-02-01,44.94,0.86,2023-02-01 07:30:00,71.25,0.28,2023-02-01 06:45:00,82.07,0.15,2023-02-01 06:30:00,341
2023-02-02,50.41,0.69,2023-02-02 07:30:00,75.45,0.23,2023-02-02 06:45:00,84.83,0.12,2023-02-02 07:15:00,341
2023-02-03,76.54,0.21,2023-02-03 07:00:00,89.33,0.08,2023-02-03 07:00:00,94.17,0.04,2023-02-03 07:00:00,341
2023-02-04,99.51,0.0,2023-02-04 17:30:00,100.13,-0.0,2023-02-04 17:30:00,101.91,-0.01,2023-02-04 17:00:00,341
2023-02-05,95.95,0.03,2023-02-05 03:15:00,100.42,-0.0,2023-02-05 02:30:00,102.53,-0.02,2023-02-05 16:45:00,341
2023-02-06,27.15,1.87,2023-02-06 07:30:00,60.91,0.45,2023-02-06 07:00:00,74.84,0.23,2023-02-06 06:45:00,341
2023-02-07,73.6,0.25,2023-02-07 07:15:00,88.4,0.09,2023-02-07 06:30:00,94.13,0.04,2023-02-07 07:00:00,341
2023-02-08,95.84,0.03,2023-02-08 01:15:00,100.0,0.0,2023-02-08 00:15:00,99.97,0.0,2023-02-08 01:15:00,341
2023-02-09,39.41,1.07,2023-02-09 07:30:00,57.44,0.52,2023-02-09 07:00:00,73.31,0.25,2023-02-09 07:00:00,341
2023-02-10,96.51,0.03,2023-02-10 01:15:00,99.29,0.01,2023-02-10 21:30:00,99.52,0.0,2023-02-10 20:30:00,341
2023-02-11,89.96,0.08,2023-02-11 12:45:00,95.74,0.03,2023-02-11 12:00:00,97.01,0.02,2023-02-11 11:15:00,341
2023-02-12,97.24,0.02,2023-02-12 02:45:00,98.63,0.01,2023-02-12 01:45:00,99.34,0.0,2023-02-12 01:30:00,341
2023-02-13,40.66,1.02,2023-02-13 08:00:00,65.86,0.36,2023-02-13 07:00:00,77.76,0.2,2023-02-13 06:45:00,341
2023-02-14,12.78,4.77,2023-02-14 19:00:00,23.86,2.23,2023-02-14 18:15:00,41.94,0.97,2023-02-14 07:15:00,341
2023-02-15,20.58,2.7,2023-02-15 18:15:00,47.93,0.76,2023-02-15 17:30:00,62.88,0.41,2023-02-15 17:00:00,341
2023-02-16,95.78,0.03,2023-02-16 17:15:00,99.85,0.0,2023-02-16 17:15:00,100.83,-0.01,2023-02-16 07:15:00,341
2023-02-17,4.07,16.44,2023-02-17 21:45:00,4.6,14.49,2023-02-17 21:15:00,4.84,13.73,2023-02-17 20:45:00,341
2023-02-18,82.63,0.15,2023-02-18 00:00:00,95.01,0.04,2023-02-18 00:00:00,99.85,0.0,2023-02-18 00:00:00,341
2023-02-19,101.11,-0.01,2023-02-19 18:00:00,102.79,-0.02,2023-02-19 17:45:00,104.14,-0.03,2023-02-19 17:30:00,341
2023-02-20,95.2,0.04,2023-02-20 01:30:00,100.49,-0.0,2023-02-20 01:00:00,101.56,-0.01,2023-02-20 01:30:00,341
2023-02-21,98.63,0.01,2023-02-21 02:45:00,98.68,0.01,2023-02-21 01:45:00,100.62,-0.0,2023-02-21 01:45:00,341
