date_jour,cp1,Dp1,HEURE_POINTE_1H,cp2,Dp2,HEURE_POINTE_2H,cp3,Dp3,HEURE_POINTE_3H,LENGTH
2023-01-01,100.0,0.0,2023-01-01 20:15:00,100.0,0.0,2023-01-01 20:15:00,100.0,0.0,2023-01-01 06:15:00,87
2023-01-02,74.13,0.29,2023-01-02 17:45:00,87.07,0.12,2023-01-02 17:45:00,91.38,0.08,2023-01-02 17:45:00,87
2023-01-03,100.0,0.0,2023-01-03 00:00:00,100.0,0.0,2023-01-03 20:00:00,100.0,0.0,2023-01-03 01:45:00,87
2023-01-04,96.18,0.03,2023-01-04 13:30:00,98.09,0.02,2023-01-04 12:15:00,99.28,0.01,2023-01-04 11:00:00,87
2023-01-05,97.57,0.02,2023-01-05 12:45:00,100.0,0.0,2023-01-05 00:45:00,100.0,0.0,2023-01-05 03:00:00,87
2023-01-06,100.0,0.0,2023-01-06 23:00:00,100.0,0.0,2023-01-06 00:00:00,100.0,0.0,2023-01-06 20:00:00,87
2023-01-07,95.9,0.04,2023-01-07 17:00:00,96.48,0.03,2023-01-07 17:00:00,98.55,0.01,2023-01-07 16:45:00,87
2023-01-08,91.67,0.08,2023-01-08 09:45:00,98.96,0.01,2023-01-08 08:45:00,99.31,0.01,2023-01-08 07:45:00,87
2023-01-09,96.94,0.03,2023-01-09 17:15:00,100.0,0.0,2023-01-09 00:15:00,100.0,0.0,2023-01-09 00:30:00,87
2023-01-10,97.05,0.03,2023-01-10 17:45:00,99.86,0.0,2023-01-10 09:45:00,100.0,0.0,2023-01-10 21:00:00,87
2023-01-11,95.31,0.04,2023-01-11 10:15:00,100.0,0.0,2023-01-11 00:15:00,100.0,0.0,2023-01-11 00:30:00,87
2023-01-12,97.67,0.02,2023-01-12 09:15:00,99.31,0.01,2023-01-12 00:00:00,99.54,0.0,2023-01-12 01:15:00,87
2023-01-13,87.15,0.12,2023-01-13 12:30:00,94.27,0.05,2023-01-13 12:30:00,97.86,0.02,2023-01-13 11:30:00,87
2023-01-14,98.26,0.01,2023-01-14 22:45:00,99.13,0.01,2023-01-14 22:00:00,99.42,0.0,2023-01-14 20:30:00,87
2023-01-15,97.57,0.02,2023-01-15 10:00:00,100.0,0.0,2023-01-15 00:45:00,100.0,0.0,2023-01-15 01:00:00,87
2023-01-16,98.96,0.01,2023-01-16 12:45:00,99.13,0.01,2023-01-16 11:45:00,100.0,0.0,2023-01-16 20:00:00,87
