date_jour,cp1,Dp1,HEURE_POINTE_1H,cp2,Dp2,HEURE_POINTE_2H,cp3,Dp3,HEURE_POINTE_3H,LENGTH
2023-01-01,100.0,0.0,2023-01-01 08:45:00,102.22,-0.03,2023-01-01 08:30:00,104.26,-0.05,2023-01-01 07:30:00,140
2023-01-02,100.0,0.0,2023-01-02 00:45:00,100.0,0.0,2023-01-02 02:00:00,104.63,-0.06,2023-01-02 01:00:00,140
2023-01-03,96.94,0.04,2023-01-03 07:45:00,103.33,-0.04,2023-01-03 01:30:00,107.87,-0.1,2023-01-03 01:45:00,140
2023-01-04,100.0,0.0,2023-01-04 21:00:00,100.0,0.0,2023-01-04 00:30:00,100.0,0.0,2023-01-04 00:45:00,140
2023-01-05,96.67,0.05,2023-01-05 18:00:00,101.11,-0.01,2023-01-05 17:00:00,105.28,-0.07,2023-01-05 02:00:00,140
2023-01-06,100.0,0.0,2023-01-06 00:45:00,100.0,0.0,2023-01-06 00:45:00,106.54,-0.08,2023-01-06 00:15:00,140
2023-01-07,98.33,0.02,2023-01-07 04:45:00,102.64,-0.03,2023-01-07 04:45:00,110.31,-0.12,2023-01-07 05:00:00,140
2023-01-08,98.61,0.02,2023-01-08 22:30:00,100.0,0.0,2023-01-08 05:30:00,103.52,-0.05,2023-01-08 06:00:00,140
2023-01-09,80.56,0.32,2023-01-09 22:45:00,90.28,0.14,2023-01-09 22:00:00,98.63,0.02,2023-01-09 20:45:00,140
2023-01-10,100.0,0.0,2023-01-10 01:15:00,102.92,-0.04,2023-01-10 01:00:00,106.3,-0.08,2023-01-10 00:00:00,140
2023-01-11,89.0,0.16,2023-01-11 01:15:00,95.56,0.06,2023-01-11 02:00:00,95.93,0.06,2023-01-11 01:30:00,140
2023-01-12,93.44,0.09,2023-01-12 10:00:00,101.39,-0.02,2023-01-12 22:00:00,102.91,-0.04,2023-01-12 21:00:00,140
2023-01-13,100.0,0.0,2023-01-13 01:15:00,110.97,-0.13,2023-01-13 02:45:00,110.43,-0.13,2023-01-13 00:45:00,140
2023-01-14,93.06,0.1,2023-01-14 04:00:00,103.47,-0.04,2023-01-14 03:00:00,102.31,-0.03,2023-01-14 02:00:00,140
2023-01-15,100.0,0.0,2023-01-15 04:30:00,106.42,-0.08,2023-01-15 03:45:00,109.06,-0.11,2023-01-15 03:00:00,140
2023-01-16,100.0,0.0,2023-01-16 21:00:00,105.97,-0.08,2023-01-16 02:45:00,109.94,-0.12,2023-01-16 19:00:00,140
