date_jour,cp1,Dp1,HEURE_POINTE_1H,cp2,Dp2,HEURE_POINTE_2H,cp3,Dp3,HEURE_POINTE_3H,LENGTH
2023-01-01,98.26,0.03,2023-01-01 14:30:00,99.65,0.01,2023-01-01 09:15:00,99.77,0.0,2023-01-01 08:15:00,35
2023-01-02,76.25,0.52,2023-01-02 15:15:00,84.9,0.3,2023-01-02 14:45:00,88.31,0.22,2023-01-02 14:45:00,35
2023-01-03,87.08,0.25,2023-01-03 08:00:00,92.36,0.14,2023-01-03 08:15:00,95.39,0.08,2023-01-03 07:15:00,35
2023-01-04,78.82,0.45,2023-01-04 14:15:00,86.11,0.27,2023-01-04 13:30:00,90.86,0.17,2023-01-04 12:30:00,35
2023-01-05,74.65,0.57,2023-01-05 11:45:00,79.76,0.42,2023-01-05 11:15:00,82.78,0.35,2023-01-05 11:15:00,35
2023-01-06,86.81,0.25,2023-01-06 08:15:00,90.03,0.18,2023-01-06 08:15:00,94.42,0.1,2023-01-06 07:45:00,35
2023-01-07,92.22,0.14,2023-01-07 17:00:00,96.88,0.05,2023-01-07 15:30:00,96.69,0.06,2023-01-07 15:00:00,35
2023-01-08,98.96,0.02,2023-01-08 12:30:00,99.65,0.01,2023-01-08 00:45:00,100.0,0.0,2023-01-08 06:15:00,35
2023-01-09,88.13,0.22,2023-01-09 15:15:00,94.03,0.11,2023-01-09 08:00:00,95.02,0.09,2023-01-09 13:30:00,35
2023-01-10,88.89,0.21,2023-01-10 06:15:00,94.27,0.1,2023-01-10 05:45:00,96.74,0.06,2023-01-10 05:45:00,35
2023-01-11,76.39,0.52,2023-01-11 14:45:00,86.63,0.26,2023-01-11 14:15:00,92.94,0.13,2023-01-11 14:15:00,35
2023-01-12,93.26,0.12,2023-01-12 13:15:00,97.57,0.04,2023-01-12 03:15:00,98.38,0.03,2023-01-12 02:30:00,35
2023-01-13,85.28,0.29,2023-01-13 15:30:00,89.76,0.19,2023-01-13 15:30:00,92.59,0.13,2023-01-13 15:30:00,35
2023-01-14,87.01,0.25,2023-01-14 17:00:00,91.74,0.15,2023-01-14 17:00:00,94.26,0.1,2023-01-14 17:00:00,35
2023-01-15,92.36,0.14,2023-01-15 17:45:00,96.42,0.06,2023-01-15 18:00:00,98.19,0.03,2023-01-15 17:15:00,35
2023-01-16,90.42,0.18,2023-01-16 09:00:00,93.92,0.11,2023-01-16 11:45:00,96.13,0.07,2023-01-16 11:45:00,35
2023-01-17,85.0,0.29,2023-01-17 16:30:00,91.32,0.16,2023-01-17 15:30:00,93.61,0.11,2023-01-17 14:30:00,35
2023-01-18,92.57,0.13,2023-01-18 13:15:00,95.83,0.07,2023-01-18 17:45:00,98.77,0.02,2023-01-18 17:30:00,35
2023-01-19,86.81,0.25,2023-01-19 12:45:00,93.51,0.12,2023-01-19 12:30:00,97.13,0.05,2023-01-19 11:15:00,35
2023-01-20,88.89,0.21,2023-01-20 07:30:00,91.42,0.16,2023-01-20 15:45:00,96.67,0.06,2023-01-20 06:30:00,35
2023-01-21,93.75,0.11,2023-01-21 03:30:00,96.88,0.05,2023-01-21 02:45:00,97.92,0.04,2023-01-21 02:45:00,35
2023-01-22,96.18,0.07,2023-01-22 01:30:00,98.09,0.03,2023-01-22 01:15:00,99.54,0.01,2023-01-22 04:15:00,35
2023-01-23,93.61,0.11,2023-01-23 13:00:00,97.4,0.04,2023-01-23 19:30:00,99.54,0.01,2023-01-23 00:15:00,35
2023-01-24,94.17,0.1,2023-01-24 11:45:00,94.72,0.09,2023-01-24 10:45:00,96.09,0.07,2023-01-24 10:45:00,35
2023-01-25,85.63,0.28,2023-01-25 14:30:00,92.29,0.14,2023-01-25 13:30:00,94.47,0.1,2023-01-25 12:45:00,35
2023-01-26,83.47,0.33,2023-01-26 16:15:00,92.78,0.13,2023-01-26 09:30:00,94.03,0.11,2023-01-26 08:30:00,35
